,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-04-30,0.9005522595239018,0.009531537531501268,0.009732785673108736,0.004508932886413097,0.0006762004511872247,0.07499828393388787,Lausanne (VD),43.0
2021-05-01,0.9049087316639568,0.009145227797816194,0.00985908756542412,0.004177817319442867,0.0007615670181257637,0.07114756863523419,Lausanne (VD),43.0
2021-05-02,0.9101099745471344,0.008784125371600856,0.00999564252854559,0.0038170135564264485,0.0008569366623617835,0.06643630733393084,Lausanne (VD),43.0
2021-05-03,0.9159214140548637,0.008475431103297815,0.010128775578745614,0.00342903960659193,0.0009594341487767162,0.06108590550772422,Lausanne (VD),43.0
2021-05-04,0.9220367006161074,0.008230416282059122,0.010251195993340073,0.0030242292155749223,0.0010617312594673688,0.055395726633451166,Lausanne (VD),43.0
2021-05-07,0.9380063762884284,0.007777830889615801,0.010680125293767351,0.0019275384624934323,0.001252973088312747,0.040355155977382345,Lausanne (VD),43.0
2021-04-10,0.9661368399561574,0.006098002749191294,0.007738603985584813,0.002697188449064384,0.0005715323720938194,0.016757832487908398,Lausanne (VD),43.0
2021-05-08,0.9409981672898238,0.0076664324269229865,0.010953402000239374,0.0016907081834096607,0.001244658529644787,0.03744663156995938,Lausanne (VD),43.0
2021-05-09,0.9422186188255615,0.007571625351877161,0.011362836890683372,0.0015552984189473348,0.0011949752641466486,0.036096645248784046,Lausanne (VD),43.0
2021-04-12,0.9630450092787339,0.00567808276723638,0.008380933555942185,0.003208764401207824,0.0005365335025386264,0.019150676494341018,Lausanne (VD),43.0
2021-05-10,0.9415454579251998,0.00751853060784828,0.01194447279674759,0.0015311862484632074,0.0011094837071361039,0.03635086871460496,Lausanne (VD),43.0
2021-04-13,0.9606365500400108,0.005618447532923469,0.008603491277627134,0.0034793396485617613,0.0005233066898174043,0.021138864811059588,Lausanne (VD),43.0
2021-05-11,0.9390568448320495,0.007544700760489983,0.012721085216449024,0.0016182548804705452,0.0009978782806457428,0.03806123602989515,Lausanne (VD),43.0
2021-05-05,0.9280662953059785,0.008044176855046997,0.010367915171567718,0.0026214943143801545,0.001152826029622489,0.04974729232340405,Lausanne (VD),43.0
2021-05-06,0.9335507284031979,0.007899917037790766,0.01049936007815662,0.0022464816724223477,0.0012202179380655126,0.044583294870366816,Lausanne (VD),43.0
2021-02-13,0.5771998706190059,0.041932674865376704,0.005968062745573391,0.005862967332330729,0.006869260803966979,0.36216716363374624,Lausanne (VD),43.0
